"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"12865786","148","254","Madureira - Praça XV","254-MADUREIRA - PRACA XV","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865786&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12867390","148","249","Água Santa - Carioca (Circular)","249-AGUA SANTA - CARIOCA (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12867390&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12863261","148","802","Bangu - Campo Grande (via Rio da Prata)","802-BANGU - CAMPO GRANDE (VIA RIO DA PRATA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12863261&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
"12865031","148","652","Méier - Cascadura (via Lins) (Circular)","652-MEIER - CASCADURA (VIA LINS) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865031&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","607C8C",
"12865806","148","922","Tubiacanga - Aeroporto Internacional do RJ (AIRJ) (via Via Ligth) (Circular)","922-TUBIACANGA - AEROPORTO GALEAO (VIA LIGTH) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865806&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12862387","148","680","Penha (Iapi) - Méier (Circular)","680-PENHA (IAPI) - MEIER (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862387&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12860289","148","653","Marechal Hermes - Méier (Circular)","653-MARECHAL HERMES - MEIER (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860289&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12862304","148","441","Caju - Lido (via São Cristóvão/Túnel Rebouças) (Circular)","441-CAJU - LIDO (VIA SAO CRISTOVAO / TUNEL REBOUCAS) (CIRCULAR)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12862304&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D8B511",
"12860181","148","485","Penha - Siqueira Campos (via Linha Vermelha/Túnel Santa Bárbara)","485-PENHA - SIQUEIRA CAMPOS (VIA LINHA VERMELHA/TUNEL SANTA BARBARA)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12860181&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","BAD80A",
"12865620","148","731","Campo Grande - Marechal Hermes (via Estrada da Posse)","731-CAMPO GRANDE - MARECHAL HERMES (VIA ESTR. DA POSSE)","3","http://www.vadeonibus.com.br/vdo/?telaAtiva=site&exibeRota=12865620&utm_medium=GTFSfeed&utm_source=GoogleTransit&utm_campaign=route_URL","D62828",
